statistic_label,month,property_type,unit,value
Residential Property Price Index,2005 May,National - all residential properties,Base 2015=100,128.4
Residential Property Price Index,2005 May,National - houses,Base 2015=100,124.6
Residential Property Price Index,2005 May,National - apartments,Base 2015=100,153.7
Residential Property Price Index,2005 May,Dublin - all residential properties,Base 2015=100,123.7
Residential Property Price Index,2005 May,Dublin - houses,Base 2015=100,117.4
Residential Property Price Index,2005 May,Dublin - apartments,Base 2015=100,150.1
Residential Property Price Index,2005 May,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2005 May,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2005 May,Fingal - houses,Base 2015=100,
Residential Property Price Index,2005 May,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2005 May,National excluding Dublin - all residential properties,Base 2015=100,144.8
Residential Property Price Index,2005 May,National excluding Dublin - houses,Base 2015=100,142.5
Residential Property Price Index,2005 May,National excluding Dublin - apartments,Base 2015=100,184.0
Residential Property Price Index,2005 May,Border - houses,Base 2015=100,
Residential Property Price Index,2005 May,Midland - houses,Base 2015=100,
Residential Property Price Index,2005 May,West - houses,Base 2015=100,
Residential Property Price Index,2005 May,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2005 May,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2005 May,South-East - houses,Base 2015=100,
Residential Property Price Index,2005 May,South-West - houses,Base 2015=100,
Residential Property Price Index,2005 June,National - all residential properties,Base 2015=100,129.5
Residential Property Price Index,2005 June,National - houses,Base 2015=100,126.0
Residential Property Price Index,2005 June,National - apartments,Base 2015=100,153.2
Residential Property Price Index,2005 June,Dublin - all residential properties,Base 2015=100,123.8
Residential Property Price Index,2005 June,Dublin - houses,Base 2015=100,117.7
Residential Property Price Index,2005 June,Dublin - apartments,Base 2015=100,149.4
Residential Property Price Index,2005 June,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2005 June,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2005 June,Fingal - houses,Base 2015=100,
Residential Property Price Index,2005 June,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2005 June,National excluding Dublin - all residential properties,Base 2015=100,146.7
Residential Property Price Index,2005 June,National excluding Dublin - houses,Base 2015=100,144.5
Residential Property Price Index,2005 June,National excluding Dublin - apartments,Base 2015=100,183.6
Residential Property Price Index,2005 June,Border - houses,Base 2015=100,
Residential Property Price Index,2005 June,Midland - houses,Base 2015=100,
Residential Property Price Index,2005 June,West - houses,Base 2015=100,
Residential Property Price Index,2005 June,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2005 June,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2005 June,South-East - houses,Base 2015=100,
Residential Property Price Index,2005 June,South-West - houses,Base 2015=100,
Residential Property Price Index,2005 July,National - all residential properties,Base 2015=100,131.6
Residential Property Price Index,2005 July,National - houses,Base 2015=100,128.2
Residential Property Price Index,2005 July,National - apartments,Base 2015=100,153.6
Residential Property Price Index,2005 July,Dublin - all residential properties,Base 2015=100,125.3
Residential Property Price Index,2005 July,Dublin - houses,Base 2015=100,119.7
Residential Property Price Index,2005 July,Dublin - apartments,Base 2015=100,148.8
Residential Property Price Index,2005 July,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2005 July,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2005 July,Fingal - houses,Base 2015=100,
Residential Property Price Index,2005 July,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2005 July,National excluding Dublin - all residential properties,Base 2015=100,149.3
Residential Property Price Index,2005 July,National excluding Dublin - houses,Base 2015=100,147.1
Residential Property Price Index,2005 July,National excluding Dublin - apartments,Base 2015=100,187.2
Residential Property Price Index,2005 July,Border - houses,Base 2015=100,
Residential Property Price Index,2005 July,Midland - houses,Base 2015=100,
Residential Property Price Index,2005 July,West - houses,Base 2015=100,
Residential Property Price Index,2005 July,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2005 July,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2005 July,South-East - houses,Base 2015=100,
Residential Property Price Index,2005 July,South-West - houses,Base 2015=100,
Residential Property Price Index,2005 August,National - all residential properties,Base 2015=100,133.8
Residential Property Price Index,2005 August,National - houses,Base 2015=100,130.2
Residential Property Price Index,2005 August,National - apartments,Base 2015=100,155.8
Residential Property Price Index,2005 August,Dublin - all residential properties,Base 2015=100,127.7
Residential Property Price Index,2005 August,Dublin - houses,Base 2015=100,122.0
Residential Property Price Index,2005 August,Dublin - apartments,Base 2015=100,150.6
Residential Property Price Index,2005 August,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2005 August,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2005 August,Fingal - houses,Base 2015=100,
Residential Property Price Index,2005 August,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2005 August,National excluding Dublin - all residential properties,Base 2015=100,151.6
Residential Property Price Index,2005 August,National excluding Dublin - houses,Base 2015=100,149.1
Residential Property Price Index,2005 August,National excluding Dublin - apartments,Base 2015=100,193.7
Residential Property Price Index,2005 August,Border - houses,Base 2015=100,
Residential Property Price Index,2005 August,Midland - houses,Base 2015=100,
