statistic_label,month,property_type,unit,value
Residential Property Price Index,2024 August,Mid-East - houses,Base 2015=100,185.7
Residential Property Price Index,2024 August,Mid-West - houses,Base 2015=100,219.4
Residential Property Price Index,2024 August,South-East - houses,Base 2015=100,212.7
Residential Property Price Index,2024 August,South-West - houses,Base 2015=100,205.6
Residential Property Price Index,2024 September,National - all residential properties,Base 2015=100,187.0
Residential Property Price Index,2024 September,National - houses,Base 2015=100,188.1
Residential Property Price Index,2024 September,National - apartments,Base 2015=100,182.4
Residential Property Price Index,2024 September,Dublin - all residential properties,Base 2015=100,164.3
Residential Property Price Index,2024 September,Dublin - houses,Base 2015=100,164.9
Residential Property Price Index,2024 September,Dublin - apartments,Base 2015=100,164.7
Residential Property Price Index,2024 September,Dublin City - houses,Base 2015=100,163.7
Residential Property Price Index,2024 September,Dun Laoghaire-Rathdown - houses,Base 2015=100,156.0
Residential Property Price Index,2024 September,Fingal - houses,Base 2015=100,168.2
Residential Property Price Index,2024 September,South Dublin - houses,Base 2015=100,169.4
Residential Property Price Index,2024 September,National excluding Dublin - all residential properties,Base 2015=100,210.9
Residential Property Price Index,2024 September,National excluding Dublin - houses,Base 2015=100,209.4
Residential Property Price Index,2024 September,National excluding Dublin - apartments,Base 2015=100,229.7
Residential Property Price Index,2024 September,Border - houses,Base 2015=100,231.4
Residential Property Price Index,2024 September,Midland - houses,Base 2015=100,234.3
Residential Property Price Index,2024 September,West - houses,Base 2015=100,247.5
Residential Property Price Index,2024 September,Mid-East - houses,Base 2015=100,186.1
Residential Property Price Index,2024 September,Mid-West - houses,Base 2015=100,218.8
Residential Property Price Index,2024 September,South-East - houses,Base 2015=100,214.3
Residential Property Price Index,2024 September,South-West - houses,Base 2015=100,208.4
Residential Property Price Index,2024 October,National - all residential properties,Base 2015=100,188.5
Residential Property Price Index,2024 October,National - houses,Base 2015=100,189.6
Residential Property Price Index,2024 October,National - apartments,Base 2015=100,183.8
Residential Property Price Index,2024 October,Dublin - all residential properties,Base 2015=100,165.3
Residential Property Price Index,2024 October,Dublin - houses,Base 2015=100,165.7
Residential Property Price Index,2024 October,Dublin - apartments,Base 2015=100,166.2
Residential Property Price Index,2024 October,Dublin City - houses,Base 2015=100,165.1
Residential Property Price Index,2024 October,Dun Laoghaire-Rathdown - houses,Base 2015=100,156.8
Residential Property Price Index,2024 October,Fingal - houses,Base 2015=100,168.4
Residential Property Price Index,2024 October,South Dublin - houses,Base 2015=100,169.9
Residential Property Price Index,2024 October,National excluding Dublin - all residential properties,Base 2015=100,213.0
Residential Property Price Index,2024 October,National excluding Dublin - houses,Base 2015=100,211.5
Residential Property Price Index,2024 October,National excluding Dublin - apartments,Base 2015=100,230.5
Residential Property Price Index,2024 October,Border - houses,Base 2015=100,232.4
Residential Property Price Index,2024 October,Midland - houses,Base 2015=100,236.9
Residential Property Price Index,2024 October,West - houses,Base 2015=100,249.4
Residential Property Price Index,2024 October,Mid-East - houses,Base 2015=100,187.6
Residential Property Price Index,2024 October,Mid-West - houses,Base 2015=100,223.6
Residential Property Price Index,2024 October,South-East - houses,Base 2015=100,216.0
Residential Property Price Index,2024 October,South-West - houses,Base 2015=100,210.8
Residential Property Price Index,2024 November,National - all residential properties,Base 2015=100,190.1
Residential Property Price Index,2024 November,National - houses,Base 2015=100,191.3
Residential Property Price Index,2024 November,National - apartments,Base 2015=100,185.1
Residential Property Price Index,2024 November,Dublin - all residential properties,Base 2015=100,166.5
Residential Property Price Index,2024 November,Dublin - houses,Base 2015=100,166.8
Residential Property Price Index,2024 November,Dublin - apartments,Base 2015=100,167.9
Residential Property Price Index,2024 November,Dublin City - houses,Base 2015=100,166.1
Residential Property Price Index,2024 November,Dun Laoghaire-Rathdown - houses,Base 2015=100,157.5
Residential Property Price Index,2024 November,Fingal - houses,Base 2015=100,170.1
Residential Property Price Index,2024 November,South Dublin - houses,Base 2015=100,171.2
Residential Property Price Index,2024 November,National excluding Dublin - all residential properties,Base 2015=100,215.0
Residential Property Price Index,2024 November,National excluding Dublin - houses,Base 2015=100,213.7
Residential Property Price Index,2024 November,National excluding Dublin - apartments,Base 2015=100,230.8
Residential Property Price Index,2024 November,Border - houses,Base 2015=100,232.8
Residential Property Price Index,2024 November,Midland - houses,Base 2015=100,239.1
Residential Property Price Index,2024 November,West - houses,Base 2015=100,251.8
Residential Property Price Index,2024 November,Mid-East - houses,Base 2015=100,188.7
Residential Property Price Index,2024 November,Mid-West - houses,Base 2015=100,225.5
Residential Property Price Index,2024 November,South-East - houses,Base 2015=100,218.8
Residential Property Price Index,2024 November,South-West - houses,Base 2015=100,215.3
Residential Property Price Index,2024 December,National - all residential properties,Base 2015=100,191.3
Residential Property Price Index,2024 December,National - houses,Base 2015=100,192.5
Residential Property Price Index,2024 December,National - apartments,Base 2015=100,185.7
Residential Property Price Index,2024 December,Dublin - all residential properties,Base 2015=100,166.7
Residential Property Price Index,2024 December,Dublin - houses,Base 2015=100,166.9
Residential Property Price Index,2024 December,Dublin - apartments,Base 2015=100,168.1
Residential Property Price Index,2024 December,Dublin City - houses,Base 2015=100,165.7
Residential Property Price Index,2024 December,Dun Laoghaire-Rathdown - houses,Base 2015=100,158.0
Residential Property Price Index,2024 December,Fingal - houses,Base 2015=100,169.5
Residential Property Price Index,2024 December,South Dublin - houses,Base 2015=100,172.6
Residential Property Price Index,2024 December,National excluding Dublin - all residential properties,Base 2015=100,217.1
Residential Property Price Index,2024 December,National excluding Dublin - houses,Base 2015=100,215.9
Residential Property Price Index,2024 December,National excluding Dublin - apartments,Base 2015=100,232.2
Residential Property Price Index,2024 December,Border - houses,Base 2015=100,235.4
Residential Property Price Index,2024 December,Midland - houses,Base 2015=100,241.6
Residential Property Price Index,2024 December,West - houses,Base 2015=100,254.2
Residential Property Price Index,2024 December,Mid-East - houses,Base 2015=100,191.4
Residential Property Price Index,2024 December,Mid-West - houses,Base 2015=100,229.3
Residential Property Price Index,2024 December,South-East - houses,Base 2015=100,218.7
Residential Property Price Index,2024 December,South-West - houses,Base 2015=100,216.5
Residential Property Price Index,2025 January,National - all residential properties,Base 2015=100,191.6
Residential Property Price Index,2025 January,National - houses,Base 2015=100,193.0
Residential Property Price Index,2025 January,National - apartments,Base 2015=100,185.3
Residential Property Price Index,2025 January,Dublin - all residential properties,Base 2015=100,167.0
Residential Property Price Index,2025 January,Dublin - houses,Base 2015=100,167.5
Residential Property Price Index,2025 January,Dublin - apartments,Base 2015=100,167.6
Residential Property Price Index,2025 January,Dublin City - houses,Base 2015=100,165.7
Residential Property Price Index,2025 January,Dun Laoghaire-Rathdown - houses,Base 2015=100,158.2
Residential Property Price Index,2025 January,Fingal - houses,Base 2015=100,171.1
Residential Property Price Index,2025 January,South Dublin - houses,Base 2015=100,173.3
Residential Property Price Index,2025 January,National excluding Dublin - all residential properties,Base 2015=100,217.6
Residential Property Price Index,2025 January,National excluding Dublin - houses,Base 2015=100,216.3
Residential Property Price Index,2025 January,National excluding Dublin - apartments,Base 2015=100,232.5
Residential Property Price Index,2025 January,Border - houses,Base 2015=100,233.1
Residential Property Price Index,2025 January,Midland - houses,Base 2015=100,244.1
Residential Property Price Index,2025 January,West - houses,Base 2015=100,254.6
Residential Property Price Index,2025 January,Mid-East - houses,Base 2015=100,192.0
Residential Property Price Index,2025 January,Mid-West - houses,Base 2015=100,229.4
Residential Property Price Index,2025 January,South-East - houses,Base 2015=100,217.4
Residential Property Price Index,2025 January,South-West - houses,Base 2015=100,218.0
Residential Property Price Index,2025 February,National - all residential properties,Base 2015=100,191.8
Residential Property Price Index,2025 February,National - houses,Base 2015=100,193.2
Residential Property Price Index,2025 February,National - apartments,Base 2015=100,185.3
Residential Property Price Index,2025 February,Dublin - all residential properties,Base 2015=100,166.9
Residential Property Price Index,2025 February,Dublin - houses,Base 2015=100,167.5
Residential Property Price Index,2025 February,Dublin - apartments,Base 2015=100,167.4
Residential Property Price Index,2025 February,Dublin City - houses,Base 2015=100,165.7
Residential Property Price Index,2025 February,Dun Laoghaire-Rathdown - houses,Base 2015=100,158.4
Residential Property Price Index,2025 February,Fingal - houses,Base 2015=100,170.9
Residential Property Price Index,2025 February,South Dublin - houses,Base 2015=100,173.5
Residential Property Price Index,2025 February,National excluding Dublin - all residential properties,Base 2015=100,218.0
Residential Property Price Index,2025 February,National excluding Dublin - houses,Base 2015=100,216.7
Residential Property Price Index,2025 February,National excluding Dublin - apartments,Base 2015=100,232.9
Residential Property Price Index,2025 February,Border - houses,Base 2015=100,233.5
Residential Property Price Index,2025 February,Midland - houses,Base 2015=100,246.3
Residential Property Price Index,2025 February,West - houses,Base 2015=100,253.8
Residential Property Price Index,2025 February,Mid-East - houses,Base 2015=100,191.8
Residential Property Price Index,2025 February,Mid-West - houses,Base 2015=100,229.4
Residential Property Price Index,2025 February,South-East - houses,Base 2015=100,217.3
Residential Property Price Index,2025 February,South-West - houses,Base 2015=100,220.0
Residential Property Price Index,2025 March,National - all residential properties,Base 2015=100,192.1
Residential Property Price Index,2025 March,National - houses,Base 2015=100,193.3
Residential Property Price Index,2025 March,National - apartments,Base 2015=100,186.4
Residential Property Price Index,2025 March,Dublin - all residential properties,Base 2015=100,166.4
Residential Property Price Index,2025 March,Dublin - houses,Base 2015=100,166.7
Residential Property Price Index,2025 March,Dublin - apartments,Base 2015=100,167.9
Residential Property Price Index,2025 March,Dublin City - houses,Base 2015=100,165.7
Residential Property Price Index,2025 March,Dun Laoghaire-Rathdown - houses,Base 2015=100,156.8
Residential Property Price Index,2025 March,Fingal - houses,Base 2015=100,170.8
Residential Property Price Index,2025 March,South Dublin - houses,Base 2015=100,171.9
Residential Property Price Index,2025 March,National excluding Dublin - all residential properties,Base 2015=100,219.0
Residential Property Price Index,2025 March,National excluding Dublin - houses,Base 2015=100,217.6
Residential Property Price Index,2025 March,National excluding Dublin - apartments,Base 2015=100,236.0
Residential Property Price Index,2025 March,Border - houses,Base 2015=100,231.9
Residential Property Price Index,2025 March,Midland - houses,Base 2015=100,248.9
Residential Property Price Index,2025 March,West - houses,Base 2015=100,253.4
Residential Property Price Index,2025 March,Mid-East - houses,Base 2015=100,193.6
Residential Property Price Index,2025 March,Mid-West - houses,Base 2015=100,228.8
Residential Property Price Index,2025 March,South-East - houses,Base 2015=100,218.1
Residential Property Price Index,2025 March,South-West - houses,Base 2015=100,220.7
Residential Property Price Index,2025 April,National - all residential properties,Base 2015=100,192.9
Residential Property Price Index,2025 April,National - houses,Base 2015=100,194.0
Residential Property Price Index,2025 April,National - apartments,Base 2015=100,188.4
Residential Property Price Index,2025 April,Dublin - all residential properties,Base 2015=100,167.2
Residential Property Price Index,2025 April,Dublin - houses,Base 2015=100,167.4
Residential Property Price Index,2025 April,Dublin - apartments,Base 2015=100,169.1
Residential Property Price Index,2025 April,Dublin City - houses,Base 2015=100,165.7
Residential Property Price Index,2025 April,Dun Laoghaire-Rathdown - houses,Base 2015=100,156.7
Residential Property Price Index,2025 April,Fingal - houses,Base 2015=100,173.0
Residential Property Price Index,2025 April,South Dublin - houses,Base 2015=100,173.1
Residential Property Price Index,2025 April,National excluding Dublin - all residential properties,Base 2015=100,220.0
Residential Property Price Index,2025 April,National excluding Dublin - houses,Base 2015=100,218.3
Residential Property Price Index,2025 April,National excluding Dublin - apartments,Base 2015=100,240.5
Residential Property Price Index,2025 April,Border - houses,Base 2015=100,233.0
Residential Property Price Index,2025 April,Midland - houses,Base 2015=100,248.6
Residential Property Price Index,2025 April,West - houses,Base 2015=100,253.7
Residential Property Price Index,2025 April,Mid-East - houses,Base 2015=100,195.3
Residential Property Price Index,2025 April,Mid-West - houses,Base 2015=100,229.7
Residential Property Price Index,2025 April,South-East - houses,Base 2015=100,218.8
Residential Property Price Index,2025 April,South-West - houses,Base 2015=100,220.0
Residential Property Price Index,2025 May,National - all residential properties,Base 2015=100,194.0
Residential Property Price Index,2025 May,National - houses,Base 2015=100,195.0
Residential Property Price Index,2025 May,National - apartments,Base 2015=100,190.3
Residential Property Price Index,2025 May,Dublin - all residential properties,Base 2015=100,168.2
Residential Property Price Index,2025 May,Dublin - houses,Base 2015=100,168.2
Residential Property Price Index,2025 May,Dublin - apartments,Base 2015=100,171.0
Residential Property Price Index,2025 May,Dublin City - houses,Base 2015=100,166.9
Residential Property Price Index,2025 May,Dun Laoghaire-Rathdown - houses,Base 2015=100,157.8
Residential Property Price Index,2025 May,Fingal - houses,Base 2015=100,173.2
Residential Property Price Index,2025 May,South Dublin - houses,Base 2015=100,173.5
Residential Property Price Index,2025 May,National excluding Dublin - all residential properties,Base 2015=100,221.2
Residential Property Price Index,2025 May,National excluding Dublin - houses,Base 2015=100,219.4
Residential Property Price Index,2025 May,National excluding Dublin - apartments,Base 2015=100,242.3
Residential Property Price Index,2025 May,Border - houses,Base 2015=100,233.2
Residential Property Price Index,2025 May,Midland - houses,Base 2015=100,249.3
Residential Property Price Index,2025 May,West - houses,Base 2015=100,255.0
Residential Property Price Index,2025 May,Mid-East - houses,Base 2015=100,197.0
Residential Property Price Index,2025 May,Mid-West - houses,Base 2015=100,232.9
Residential Property Price Index,2025 May,South-East - houses,Base 2015=100,218.4
Residential Property Price Index,2025 May,South-West - houses,Base 2015=100,220.1
Residential Property Price Index,2025 June,National - all residential properties,Base 2015=100,196.1
Residential Property Price Index,2025 June,National - houses,Base 2015=100,197.2
Residential Property Price Index,2025 June,National - apartments,Base 2015=100,190.9
Residential Property Price Index,2025 June,Dublin - all residential properties,Base 2015=100,169.7
Residential Property Price Index,2025 June,Dublin - houses,Base 2015=100,170.0
Residential Property Price Index,2025 June,Dublin - apartments,Base 2015=100,171.1
Residential Property Price Index,2025 June,Dublin City - houses,Base 2015=100,169.1
Residential Property Price Index,2025 June,Dun Laoghaire-Rathdown - houses,Base 2015=100,160.5
Residential Property Price Index,2025 June,Fingal - houses,Base 2015=100,174.0
Residential Property Price Index,2025 June,South Dublin - houses,Base 2015=100,174.0
Residential Property Price Index,2025 June,National excluding Dublin - all residential properties,Base 2015=100,223.8
Residential Property Price Index,2025 June,National excluding Dublin - houses,Base 2015=100,222.1
Residential Property Price Index,2025 June,National excluding Dublin - apartments,Base 2015=100,244.4
Residential Property Price Index,2025 June,Border - houses,Base 2015=100,237.4
Residential Property Price Index,2025 June,Midland - houses,Base 2015=100,253.2
Residential Property Price Index,2025 June,West - houses,Base 2015=100,257.1
Residential Property Price Index,2025 June,Mid-East - houses,Base 2015=100,199.4
Residential Property Price Index,2025 June,Mid-West - houses,Base 2015=100,236.3
Residential Property Price Index,2025 June,South-East - houses,Base 2015=100,221.9
Residential Property Price Index,2025 June,South-West - houses,Base 2015=100,221.9
Residential Property Price Index,2025 July,National - all residential properties,Base 2015=100,197.7
Residential Property Price Index,2025 July,National - houses,Base 2015=100,198.9
Residential Property Price Index,2025 July,National - apartments,Base 2015=100,192.1
Residential Property Price Index,2025 July,Dublin - all residential properties,Base 2015=100,170.6
Residential Property Price Index,2025 July,Dublin - houses,Base 2015=100,171.0
Residential Property Price Index,2025 July,Dublin - apartments,Base 2015=100,171.7
Residential Property Price Index,2025 July,Dublin City - houses,Base 2015=100,171.2
Residential Property Price Index,2025 July,Dun Laoghaire-Rathdown - houses,Base 2015=100,160.8
Residential Property Price Index,2025 July,Fingal - houses,Base 2015=100,173.9
Residential Property Price Index,2025 July,South Dublin - houses,Base 2015=100,175.3
Residential Property Price Index,2025 July,National excluding Dublin - all residential properties,Base 2015=100,226.2
Residential Property Price Index,2025 July,National excluding Dublin - houses,Base 2015=100,224.4
Residential Property Price Index,2025 July,National excluding Dublin - apartments,Base 2015=100,247.3
Residential Property Price Index,2025 July,Border - houses,Base 2015=100,239.0
Residential Property Price Index,2025 July,Midland - houses,Base 2015=100,257.1
Residential Property Price Index,2025 July,West - houses,Base 2015=100,257.8
Residential Property Price Index,2025 July,Mid-East - houses,Base 2015=100,201.6
Residential Property Price Index,2025 July,Mid-West - houses,Base 2015=100,239.8
Residential Property Price Index,2025 July,South-East - houses,Base 2015=100,226.9
Residential Property Price Index,2025 July,South-West - houses,Base 2015=100,222.6
Residential Property Price Index,2025 August,National - all residential properties,Base 2015=100,199.4
Residential Property Price Index,2025 August,National - houses,Base 2015=100,200.7
Residential Property Price Index,2025 August,National - apartments,Base 2015=100,194.0
Residential Property Price Index,2025 August,Dublin - all residential properties,Base 2015=100,171.8
Residential Property Price Index,2025 August,Dublin - houses,Base 2015=100,172.1
Residential Property Price Index,2025 August,Dublin - apartments,Base 2015=100,173.2
Residential Property Price Index,2025 August,Dublin City - houses,Base 2015=100,173.5
Residential Property Price Index,2025 August,Dun Laoghaire-Rathdown - houses,Base 2015=100,161.6
Residential Property Price Index,2025 August,Fingal - houses,Base 2015=100,173.1
Residential Property Price Index,2025 August,South Dublin - houses,Base 2015=100,177.6
Residential Property Price Index,2025 August,National excluding Dublin - all residential properties,Base 2015=100,228.5
Residential Property Price Index,2025 August,National excluding Dublin - houses,Base 2015=100,226.7
Residential Property Price Index,2025 August,National excluding Dublin - apartments,Base 2015=100,250.3
Residential Property Price Index,2025 August,Border - houses,Base 2015=100,244.0
Residential Property Price Index,2025 August,Midland - houses,Base 2015=100,261.9
Residential Property Price Index,2025 August,West - houses,Base 2015=100,261.4
Residential Property Price Index,2025 August,Mid-East - houses,Base 2015=100,202.6
Residential Property Price Index,2025 August,Mid-West - houses,Base 2015=100,241.0
Residential Property Price Index,2025 August,South-East - houses,Base 2015=100,229.4
Residential Property Price Index,2025 August,South-West - houses,Base 2015=100,225.3
Residential Property Price Index,2025 September,National - all residential properties,Base 2015=100,201.0
Residential Property Price Index,2025 September,National - houses,Base 2015=100,202.2
Residential Property Price Index,2025 September,National - apartments,Base 2015=100,195.9
Residential Property Price Index,2025 September,Dublin - all residential properties,Base 2015=100,173.1
Residential Property Price Index,2025 September,Dublin - houses,Base 2015=100,173.3
Residential Property Price Index,2025 September,Dublin - apartments,Base 2015=100,174.9
Residential Property Price Index,2025 September,Dublin City - houses,Base 2015=100,173.9
Residential Property Price Index,2025 September,Dun Laoghaire-Rathdown - houses,Base 2015=100,163.5
Residential Property Price Index,2025 September,Fingal - houses,Base 2015=100,174.6
Residential Property Price Index,2025 September,South Dublin - houses,Base 2015=100,178.7
Residential Property Price Index,2025 September,National excluding Dublin - all residential properties,Base 2015=100,230.4
Residential Property Price Index,2025 September,National excluding Dublin - houses,Base 2015=100,228.5
Residential Property Price Index,2025 September,National excluding Dublin - apartments,Base 2015=100,253.0
Residential Property Price Index,2025 September,Border - houses,Base 2015=100,243.9
Residential Property Price Index,2025 September,Midland - houses,Base 2015=100,266.5
Residential Property Price Index,2025 September,West - houses,Base 2015=100,262.5
Residential Property Price Index,2025 September,Mid-East - houses,Base 2015=100,203.2
Residential Property Price Index,2025 September,Mid-West - houses,Base 2015=100,243.4
Residential Property Price Index,2025 September,South-East - houses,Base 2015=100,232.8
Residential Property Price Index,2025 September,South-West - houses,Base 2015=100,227.9
Residential Property Price Index,2025 October,National - all residential properties,Base 2015=100,202.2
Residential Property Price Index,2025 October,National - houses,Base 2015=100,203.3
Residential Property Price Index,2025 October,National - apartments,Base 2015=100,197.8
Residential Property Price Index,2025 October,Dublin - all residential properties,Base 2015=100,174.4
Residential Property Price Index,2025 October,Dublin - houses,Base 2015=100,174.5
Residential Property Price Index,2025 October,Dublin - apartments,Base 2015=100,176.8
Residential Property Price Index,2025 October,Dublin City - houses,Base 2015=100,174.9
Residential Property Price Index,2025 October,Dun Laoghaire-Rathdown - houses,Base 2015=100,164.3
Residential Property Price Index,2025 October,Fingal - houses,Base 2015=100,176.2
Residential Property Price Index,2025 October,South Dublin - houses,Base 2015=100,180.0
Residential Property Price Index,2025 October,National excluding Dublin - all residential properties,Base 2015=100,231.5
Residential Property Price Index,2025 October,National excluding Dublin - houses,Base 2015=100,229.6
Residential Property Price Index,2025 October,National excluding Dublin - apartments,Base 2015=100,255.1
Residential Property Price Index,2025 October,Border - houses,Base 2015=100,247.1
Residential Property Price Index,2025 October,Midland - houses,Base 2015=100,272.2
Residential Property Price Index,2025 October,West - houses,Base 2015=100,264.0
Residential Property Price Index,2025 October,Mid-East - houses,Base 2015=100,203.2
Residential Property Price Index,2025 October,Mid-West - houses,Base 2015=100,242.2
Residential Property Price Index,2025 October,South-East - houses,Base 2015=100,233.3
Residential Property Price Index,2025 October,South-West - houses,Base 2015=100,230.0
Residential Property Price Index,2025 November,National - all residential properties,Base 2015=100,203.1
Residential Property Price Index,2025 November,National - houses,Base 2015=100,204.2
Residential Property Price Index,2025 November,National - apartments,Base 2015=100,198.8
Residential Property Price Index,2025 November,Dublin - all residential properties,Base 2015=100,175.2
Residential Property Price Index,2025 November,Dublin - houses,Base 2015=100,175.3
Residential Property Price Index,2025 November,Dublin - apartments,Base 2015=100,177.5
Residential Property Price Index,2025 November,Dublin City - houses,Base 2015=100,175.5
Residential Property Price Index,2025 November,Dun Laoghaire-Rathdown - houses,Base 2015=100,164.7
Residential Property Price Index,2025 November,Fingal - houses,Base 2015=100,177.5
Residential Property Price Index,2025 November,South Dublin - houses,Base 2015=100,181.4
Residential Property Price Index,2025 November,National excluding Dublin - all residential properties,Base 2015=100,232.5
Residential Property Price Index,2025 November,National excluding Dublin - houses,Base 2015=100,230.5
Residential Property Price Index,2025 November,National excluding Dublin - apartments,Base 2015=100,256.6
Residential Property Price Index,2025 November,Border - houses,Base 2015=100,248.4
Residential Property Price Index,2025 November,Midland - houses,Base 2015=100,272.5
Residential Property Price Index,2025 November,West - houses,Base 2015=100,269.4
Residential Property Price Index,2025 November,Mid-East - houses,Base 2015=100,203.1
Residential Property Price Index,2025 November,Mid-West - houses,Base 2015=100,241.8
Residential Property Price Index,2025 November,South-East - houses,Base 2015=100,233.9
Residential Property Price Index,2025 November,South-West - houses,Base 2015=100,232.0
Residential Property Price Index,2025 December,National - all residential properties,Base 2015=100,204.4
Residential Property Price Index,2025 December,National - houses,Base 2015=100,205.1
Residential Property Price Index,2025 December,National - apartments,Base 2015=100,201.8
Residential Property Price Index,2025 December,Dublin - all residential properties,Base 2015=100,176.0
Residential Property Price Index,2025 December,Dublin - houses,Base 2015=100,175.5
Residential Property Price Index,2025 December,Dublin - apartments,Base 2015=100,180.0
Residential Property Price Index,2025 December,Dublin City - houses,Base 2015=100,176.8
Residential Property Price Index,2025 December,Dun Laoghaire-Rathdown - houses,Base 2015=100,164.7
Residential Property Price Index,2025 December,Fingal - houses,Base 2015=100,176.2
Residential Property Price Index,2025 December,South Dublin - houses,Base 2015=100,182.1
Residential Property Price Index,2025 December,National excluding Dublin - all residential properties,Base 2015=100,234.3
Residential Property Price Index,2025 December,National excluding Dublin - houses,Base 2015=100,232.1
Residential Property Price Index,2025 December,National excluding Dublin - apartments,Base 2015=100,261.0
Residential Property Price Index,2025 December,Border - houses,Base 2015=100,253.6
Residential Property Price Index,2025 December,Midland - houses,Base 2015=100,277.5
Residential Property Price Index,2025 December,West - houses,Base 2015=100,269.4
Residential Property Price Index,2025 December,Mid-East - houses,Base 2015=100,203.9
Residential Property Price Index,2025 December,Mid-West - houses,Base 2015=100,243.2
Residential Property Price Index,2025 December,South-East - houses,Base 2015=100,235.5
Residential Property Price Index,2025 December,South-West - houses,Base 2015=100,233.3
Residential Property Price Index,2026 January,National - all residential properties,Base 2015=100,205.0
Residential Property Price Index,2026 January,National - houses,Base 2015=100,205.7
Residential Property Price Index,2026 January,National - apartments,Base 2015=100,202.3
Residential Property Price Index,2026 January,Dublin - all residential properties,Base 2015=100,177.1
Residential Property Price Index,2026 January,Dublin - houses,Base 2015=100,176.9
Residential Property Price Index,2026 January,Dublin - apartments,Base 2015=100,180.6
Residential Property Price Index,2026 January,Dublin City - houses,Base 2015=100,178.9
Residential Property Price Index,2026 January,Dun Laoghaire-Rathdown - houses,Base 2015=100,166.5
Residential Property Price Index,2026 January,Fingal - houses,Base 2015=100,177.6
Residential Property Price Index,2026 January,South Dublin - houses,Base 2015=100,181.0
Residential Property Price Index,2026 January,National excluding Dublin - all residential properties,Base 2015=100,234.3
Residential Property Price Index,2026 January,National excluding Dublin - houses,Base 2015=100,232.1
Residential Property Price Index,2026 January,National excluding Dublin - apartments,Base 2015=100,261.1
Residential Property Price Index,2026 January,Border - houses,Base 2015=100,256.9
Residential Property Price Index,2026 January,Midland - houses,Base 2015=100,283.0
Residential Property Price Index,2026 January,West - houses,Base 2015=100,269.3
Residential Property Price Index,2026 January,Mid-East - houses,Base 2015=100,203.9
Residential Property Price Index,2026 January,Mid-West - houses,Base 2015=100,242.3
Residential Property Price Index,2026 January,South-East - houses,Base 2015=100,235.4
Residential Property Price Index,2026 January,South-West - houses,Base 2015=100,231.2
Percentage Change over 1 month for Residential Property Price Index,2005 January,National - all residential properties,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,National - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,National - apartments,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,Dublin - all residential properties,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,Dublin - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,Dublin - apartments,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,Dublin City - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,Dun Laoghaire-Rathdown - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,Fingal - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,South Dublin - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,National excluding Dublin - all residential properties,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,National excluding Dublin - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,National excluding Dublin - apartments,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,Border - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,Midland - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,West - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,Mid-East - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,Mid-West - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,South-East - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 January,South-West - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 February,National - all residential properties,%,0.8
Percentage Change over 1 month for Residential Property Price Index,2005 February,National - houses,%,0.9
Percentage Change over 1 month for Residential Property Price Index,2005 February,National - apartments,%,0.2
Percentage Change over 1 month for Residential Property Price Index,2005 February,Dublin - all residential properties,%,2.1
Percentage Change over 1 month for Residential Property Price Index,2005 February,Dublin - houses,%,1.7
Percentage Change over 1 month for Residential Property Price Index,2005 February,Dublin - apartments,%,3.3
Percentage Change over 1 month for Residential Property Price Index,2005 February,Dublin City - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 February,Dun Laoghaire-Rathdown - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 February,Fingal - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 February,South Dublin - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 February,National excluding Dublin - all residential properties,%,0.1
Percentage Change over 1 month for Residential Property Price Index,2005 February,National excluding Dublin - houses,%,0.6
Percentage Change over 1 month for Residential Property Price Index,2005 February,National excluding Dublin - apartments,%,-5.8
Percentage Change over 1 month for Residential Property Price Index,2005 February,Border - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 February,Midland - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 February,West - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 February,Mid-East - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 February,Mid-West - houses,%,
Percentage Change over 1 month for Residential Property Price Index,2005 February,South-East - houses,%,
